dataset,row_index,column,value,value_dtype,match_type
areas,331,provinceId,67,int,numeric_contains_67
areas,332,provinceId,67,int,numeric_contains_67
areas,333,provinceId,67,int,numeric_contains_67
areas,334,provinceId,67,int,numeric_contains_67
areas,335,provinceId,67,int,numeric_contains_67
areas,336,provinceId,67,int,numeric_contains_67
areas,337,provinceId,67,int,numeric_contains_67
areas,338,provinceId,67,int,numeric_contains_67
areas,339,provinceId,67,int,numeric_contains_67
areas,340,provinceId,67,int,numeric_contains_67
areas,341,provinceId,67,int,numeric_contains_67
areas,342,provinceId,67,int,numeric_contains_67
areas,343,provinceId,67,int,numeric_contains_67
areas,344,provinceId,67,int,numeric_contains_67
areas,345,provinceId,67,int,numeric_contains_67
areas,346,provinceId,67,int,numeric_contains_67
areas,347,provinceId,67,int,numeric_contains_67
areas,348,provinceId,67,int,numeric_contains_67
areas,349,provinceId,67,int,numeric_contains_67
areas,350,provinceId,67,int,numeric_contains_67
areas,351,provinceId,67,int,numeric_contains_67
areas,352,provinceId,67,int,numeric_contains_67
areas,353,provinceId,67,int,numeric_contains_67
areas,354,provinceId,67,int,numeric_contains_67
areas,355,provinceId,67,int,numeric_contains_67
areas,356,provinceId,67,int,numeric_contains_67
areas,357,provinceId,67,int,numeric_contains_67
areas,358,provinceId,67,int,numeric_contains_67
areas,359,provinceId,67,int,numeric_contains_67
areas,360,provinceId,67,int,numeric_contains_67
areas,361,provinceId,67,int,numeric_contains_67
areas,362,provinceId,67,int,numeric_contains_67
areas,363,provinceId,67,int,numeric_contains_67
areas,364,provinceId,67,int,numeric_contains_67
areas,393,provinceId,67,int,numeric_contains_67
areas,394,provinceId,67,int,numeric_contains_67
areas,395,provinceId,67,int,numeric_contains_67
areas,396,provinceId,67,int,numeric_contains_67
areas,397,provinceId,67,int,numeric_contains_67
areas,398,provinceId,67,int,numeric_contains_67
areas,399,provinceId,67,int,numeric_contains_67
areas,400,provinceId,67,int,numeric_contains_67
areas,401,provinceId,67,int,numeric_contains_67
areas,402,provinceId,67,int,numeric_contains_67
areas,403,provinceId,67,int,numeric_contains_67
areas,404,provinceId,67,int,numeric_contains_67
areas,405,provinceId,67,int,numeric_contains_67
areas,406,provinceId,67,int,numeric_contains_67
areas,407,provinceId,67,int,numeric_contains_67
areas,408,provinceId,67,int,numeric_contains_67
areas,409,provinceId,67,int,numeric_contains_67
areas,410,provinceId,67,int,numeric_contains_67
areas,411,provinceId,67,int,numeric_contains_67
areas,412,provinceId,67,int,numeric_contains_67
areas,413,provinceId,67,int,numeric_contains_67
areas,414,provinceId,67,int,numeric_contains_67
areas,415,provinceId,67,int,numeric_contains_67
areas,416,provinceId,67,int,numeric_contains_67
areas,417,provinceId,67,int,numeric_contains_67
areas,418,provinceId,67,int,numeric_contains_67
areas,419,provinceId,67,int,numeric_contains_67
areas,420,provinceId,67,int,numeric_contains_67
areas,421,provinceId,67,int,numeric_contains_67
areas,422,provinceId,67,int,numeric_contains_67
areas,423,provinceId,67,int,numeric_contains_67
areas,424,provinceId,67,int,numeric_contains_67
areas,425,provinceId,67,int,numeric_contains_67
areas,426,provinceId,67,int,numeric_contains_67
areas,427,provinceId,67,int,numeric_contains_67
areas,428,provinceId,67,int,numeric_contains_67
areas,5759,provinceId,67,int,numeric_contains_67
areas,5760,provinceId,67,int,numeric_contains_67
areas,5761,provinceId,67,int,numeric_contains_67
areas,5762,provinceId,67,int,numeric_contains_67
areas,5763,provinceId,67,int,numeric_contains_67
areas,5764,provinceId,67,int,numeric_contains_67
areas,5765,provinceId,67,int,numeric_contains_67
areas,5766,provinceId,67,int,numeric_contains_67
areas,5767,provinceId,67,int,numeric_contains_67
areas,5768,provinceId,67,int,numeric_contains_67
areas,5769,provinceId,67,int,numeric_contains_67
areas,5770,provinceId,67,int,numeric_contains_67
areas,5771,provinceId,67,int,numeric_contains_67
areas,5772,provinceId,67,int,numeric_contains_67
areas,5773,provinceId,67,int,numeric_contains_67
areas,5774,provinceId,67,int,numeric_contains_67
areas,5775,provinceId,67,int,numeric_contains_67
areas,5776,provinceId,67,int,numeric_contains_67
areas,5777,provinceId,67,int,numeric_contains_67
areas,5778,provinceId,67,int,numeric_contains_67
areas,5779,provinceId,67,int,numeric_contains_67
areas,5780,provinceId,67,int,numeric_contains_67
areas,5781,provinceId,67,int,numeric_contains_67
areas,5782,provinceId,67,int,numeric_contains_67
areas,5783,provinceId,67,int,numeric_contains_67
areas,5784,provinceId,67,int,numeric_contains_67
areas,5785,provinceId,67,int,numeric_contains_67
areas,5786,provinceId,67,int,numeric_contains_67
areas,5787,provinceId,67,int,numeric_contains_67
areas,5788,provinceId,67,int,numeric_contains_67
areas,5789,provinceId,67,int,numeric_contains_67
areas,5790,provinceId,67,int,numeric_contains_67
areas,5791,provinceId,67,int,numeric_contains_67
areas,5792,provinceId,67,int,numeric_contains_67
areas,5793,provinceId,67,int,numeric_contains_67
areas,5794,provinceId,67,int,numeric_contains_67
areas,5795,provinceId,67,int,numeric_contains_67
areas,5796,provinceId,67,int,numeric_contains_67
areas,5797,provinceId,67,int,numeric_contains_67
areas,5798,provinceId,67,int,numeric_contains_67
areas,5799,provinceId,67,int,numeric_contains_67
areas,5800,provinceId,67,int,numeric_contains_67
areas,5801,provinceId,67,int,numeric_contains_67
areas,5802,provinceId,67,int,numeric_contains_67
areas,5803,provinceId,67,int,numeric_contains_67
areas,5804,provinceId,67,int,numeric_contains_67
areas,5805,provinceId,67,int,numeric_contains_67
areas,331,word,บึงสามพัน > กันจุ > 67160,str,text_contains_67
areas,332,word,บึงสามพัน > ซับสมอทอด > 67160,str,text_contains_67
areas,333,word,บึงสามพัน > ซับไม้แดง > 67160,str,text_contains_67
areas,334,word,บึงสามพัน > บึงสามพัน > 67160,str,text_contains_67
areas,335,word,บึงสามพัน > พญาวัง > 67160,str,text_contains_67
areas,336,word,บึงสามพัน > วังพิกุล > 67230,str,text_contains_67
areas,337,word,บึงสามพัน > ศรีมงคล > 67160,str,text_contains_67
areas,338,word,บึงสามพัน > สระแก้ว > 67160,str,text_contains_67
areas,339,word,บึงสามพัน > หนองแจง > 67160,str,text_contains_67
areas,340,word,วิเชียรบุรี > บึงกระจับ > 67130,str,text_contains_67
areas,341,word,วิเชียรบุรี > ยางสาว > 67130,str,text_contains_67
areas,342,word,วิเชียรบุรี > สามแยก > 67130,str,text_contains_67
areas,343,word,วิเชียรบุรี > โคกปรง > 67130,str,text_contains_67
areas,344,word,หนองไผ่ > กองทูล > 67140,str,text_contains_67
areas,345,word,หนองไผ่ > ท่าด้วง > 67140,str,text_contains_67
areas,346,word,หนองไผ่ > ท่าแดง > 67140,str,text_contains_67
areas,347,word,หนองไผ่ > บ่อไทย > 67140,str,text_contains_67
areas,348,word,หนองไผ่ > บ้านโภชน์ > 67140,str,text_contains_67
areas,349,word,หนองไผ่ > วังท่าดี > 67140,str,text_contains_67
areas,350,word,หนองไผ่ > วังโบสถ์ > 67140,str,text_contains_67
areas,351,word,หนองไผ่ > เพชรละคร > 67140,str,text_contains_67
areas,352,word,เมืองเพชรบูรณ์ > ชอนไพร > 67000,str,text_contains_67
areas,353,word,เมืองเพชรบูรณ์ > ดงมูลเหล็ก > 67000,str,text_contains_67
areas,354,word,เมืองเพชรบูรณ์ > ตะเบาะ > 67000,str,text_contains_67
areas,355,word,เมืองเพชรบูรณ์ > นาป่า > 67000,str,text_contains_67
areas,356,word,เมืองเพชรบูรณ์ > นายม > 67210,str,text_contains_67
areas,357,word,เมืองเพชรบูรณ์ > น้ำร้อน > 67000,str,text_contains_67
areas,358,word,เมืองเพชรบูรณ์ > บ้านโคก > 67000,str,text_contains_67
areas,359,word,เมืองเพชรบูรณ์ > บ้านโตก > 67000,str,text_contains_67
areas,360,word,เมืองเพชรบูรณ์ > ระวิง > 67210,str,text_contains_67
areas,361,word,เมืองเพชรบูรณ์ > วังชมภู > 67210,str,text_contains_67
areas,362,word,เมืองเพชรบูรณ์ > สะเดียง > 67000,str,text_contains_67
areas,363,word,เมืองเพชรบูรณ์ > ห้วยสะแก > 67210,str,text_contains_67
areas,364,word,เมืองเพชรบูรณ์ > ห้วยใหญ่ > 67000,str,text_contains_67
areas,393,word,วิเชียรบุรี > ซับน้อย > 67180,str,text_contains_67
areas,394,word,วิเชียรบุรี > ซับสมบูรณ์ > 67180,str,text_contains_67
areas,395,word,วิเชียรบุรี > ท่าโรง > 67130,str,text_contains_67
areas,396,word,วิเชียรบุรี > น้ำร้อน > 67130,str,text_contains_67
areas,397,word,วิเชียรบุรี > บ่อรัง > 67130,str,text_contains_67
areas,398,word,วิเชียรบุรี > พุขาม > 67180,str,text_contains_67
areas,399,word,วิเชียรบุรี > พุเตย > 67180,str,text_contains_67
areas,400,word,วิเชียรบุรี > ภูน้ำหยด > 67180,str,text_contains_67
areas,401,word,วิเชียรบุรี > วังใหญ่ > 67180,str,text_contains_67
areas,402,word,วิเชียรบุรี > สระประดู่ > 67130,str,text_contains_67
areas,403,word,ศรีเทพ > คลองกระจัง > 67170,str,text_contains_67
areas,404,word,ศรีเทพ > นาสนุ่น > 67170,str,text_contains_67
areas,405,word,ศรีเทพ > ประดู่งาม > 67170,str,text_contains_67
areas,406,word,ศรีเทพ > ศรีเทพ > 67170,str,text_contains_67
areas,407,word,ศรีเทพ > สระกรวด > 67170,str,text_contains_67
areas,408,word,ศรีเทพ > หนองย่างทอย > 67170,str,text_contains_67
areas,409,word,ศรีเทพ > โคกสะอาด > 67170,str,text_contains_67
areas,410,word,ชนแดน > ชนแดน > 67150,str,text_contains_67
areas,411,word,ชนแดน > ซับพุทรา > 67150,str,text_contains_67
areas,412,word,ชนแดน > ดงขุย > 67190,str,text_contains_67
areas,413,word,ชนแดน > ตะกุดไร > 67190,str,text_contains_67
areas,414,word,ชนแดน > ท่าข้าม > 67150,str,text_contains_67
areas,415,word,ชนแดน > บ้านกล้วย > 67190,str,text_contains_67
areas,416,word,ชนแดน > พุทธบาท > 67150,str,text_contains_67
areas,417,word,ชนแดน > ลาดแค > 67150,str,text_contains_67
areas,418,word,ชนแดน > ศาลาลาย > 67150,str,text_contains_67
areas,419,word,วังโป่ง > ซับเปิบ > 67240,str,text_contains_67
areas,420,word,วังโป่ง > ท้ายดง > 67240,str,text_contains_67
